handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_af9b671c-b288-c1ce-24ea-fa126b8a696d,Product,Frock-GGG,"<p>Discover our cozy woolen frocks designed to keep your little ones warm and comfortable all season long. At Ap Oswal, we pride ourselves on delivering high-quality fabrics blended with softness and durability, perfect for children’s wear. Whether you’re a retailer or designer, our wholesale fabric options make it easy to create charming frocks that combine style and comfort. With just a click, explore our collection and experience the trusted service and value that define Ap Oswal. Cozy woolens for your little ones are now more accessible than ever.</p>",ab3cdc_db50d4b3aee449e28a08be995088966c~mv2.jpg,Frocks,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c482dada-9783-81b4-7c82-bf78c4dd760d,Product,Frock- DDD,"Discover our cozy woolen frocks designed to keep your little ones warm and comfortable all season long. At Ap Oswal, we pride ourselves on delivering high-quality fabrics blended with softness and durability, perfect for children’s wear. Whether you’re a retailer or designer, our wholesale fabric options make it easy to create charming frocks that combine style and comfort. With just a click, explore our collection and experience the trusted service and value that define Ap Oswal. Cozy woolens for your little ones are now more accessible than ever.",ab3cdc_ace29654f33f42ec8270dec2417e0476~mv2.jpg,Frocks;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_da208e6a-3de7-c2c8-b73b-026b8d4dee93,Product,Krochit Frock-NNN,,ab3cdc_7da263248d554490bfd8f1763819bbb8~mv2.png;ab3cdc_4332f80a614a4f638d12e8954b267b3d~mv2.png,Frocks,,,200.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5bdd6b5f-bd7b-b486-35c5-4ea3d2f5ce45,Product,Frock-RRR,,ab3cdc_d33ef55b7cb648c9a10e7fba5ee7383f~mv2.png,Frocks,,,200.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6abfe3e0-28c7-6e84-02bd-71e4e6a23cb0,Product,Frock-SSS,,ab3cdc_5f37db83921949cd82422ca1de75ea65~mv2.png,Frocks,,,200.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8866bad3-9376-c884-64a8-4b3eab3c98e3,Product,Frock-PPP,,ab3cdc_a32098aba0f449c693e401b31a20719e~mv2.png;ab3cdc_1bdf4cb99e65451e83416af3b0055fc0~mv2.jpg,Frocks,,,200.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30b388b2-d2dc-b4f9-fef5-6456738e4647,Product,Krochit Frock,"Discover Krochit Frocks, crafted from premium wool to keep your child warm and comfortable. Ap Oswal, a trusted fabric maker, offers adorable, soft, cozy frocks. Shop quality and comfort with us, just a click away.",ab3cdc_5dd551c05658471d822db83d60e9acc6~mv2.png,Frocks,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5793e443-4952-5f6d-e812-6a2cceeb23d1,Product,Krochit Frock,"Discover Krochit Frocks, crafted from premium wool to keep your child warm and comfortable. Ap Oswal, a trusted fabric maker, offers adorable, soft, cozy frocks. Shop quality and comfort with us, just a click away.",ab3cdc_edeaed4fe3de46b9be2615585e74f6f0~mv2.png,Frocks,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_81e0ec75-aede-2662-1797-8f3f3fc37e51,Product,Krochit Frock,"Discover Krochit Frocks, crafted from premium wool to keep your child warm and comfortable. Ap Oswal, a trusted fabric maker, offers adorable, soft, cozy frocks. Shop quality and comfort with us, just a click away.",ab3cdc_710d9316c9a341bf89fc8b188cfc1e73~mv2.png,Frocks,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e430b6e1-96dd-dae7-1214-c8c73dad7761,Product,Krochit Frock - kkk,"Discover Krochit Frocks, crafted from premium wool to keep your child warm and comfortable. Ap Oswal, a trusted fabric maker, offers adorable, soft, cozy frocks. Shop quality and comfort with us, just a click away.",ab3cdc_16deb1c2b8e74774aa21b364a8744a16~mv2.png,Frocks,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
